,x_kalman1,labels,Model Confidence Prediction,Model Thresholded Prediction,min,sec
420,-0.02,0,0,0,6,28
421,-0.02,0,0,0,6,28
422,-0.02,0,0,0,6,28
423,-0.02,0,0,0,6,28
424,-0.02,0,0,0,6,28
425,-0.02,0,0,0,6,28
426,-0.02,0,0,0,6,28
427,-0.02,0,0,0,6,28
428,-0.02,0,0,0,6,28
429,-0.02,0,0,0,6,28
430,-0.02,0,0,0,6,29
431,-0.02,0,0,0,6,29
432,-0.02,0,0,0,6,29
433,-0.02,0,0,0,6,29
434,-0.02,0,0,0,6,29
435,-0.02,0,0,0,6,29
436,-0.02,0,0,0,6,29
437,-0.02,0,0,0,6,29
438,-0.01,0,0,0,6,29
439,-0.01,0,0,0,6,29
440,-0.01,0,0,0,6,29
441,-0.02,0,0,0,6,29
442,-0.01,0,0,0,6,29
443,-0.01,0,0,0,6,29
444,-0.01,1,0,0,6,29
445,-0.01,1,5,0,6,29
446,-0.01,1,21,0,6,29
447,-0.01,1,49,1,6,30
448,-0.01,1,70,1,6,30
449,-0.01,1,77,1,6,30
450,-0.0,1,81,1,6,30
451,-0.0,1,84,1,6,30
452,0.0,1,85,1,6,30
453,0.0,1,82,1,6,30
454,0.01,1,78,1,6,30
455,0.01,1,76,1,6,30
456,0.01,1,76,1,6,30
457,0.01,1,75,1,6,30
458,0.02,1,68,1,6,30
459,0.02,1,66,1,6,30
460,0.02,1,66,1,6,30
461,0.02,0,62,1,6,30
462,0.02,0,55,1,6,30
463,0.02,0,37,0,6,30
464,0.02,0,20,0,6,30
465,0.03,0,18,0,6,31
466,0.03,0,24,0,6,31
467,0.03,0,24,0,6,31
468,0.03,0,15,0,6,31
469,0.02,0,5,0,6,31
470,0.02,0,1,0,6,31
471,0.02,0,0,0,6,31
472,0.02,0,0,0,6,31
473,0.02,0,0,0,6,31
474,0.02,0,0,0,6,31
475,0.02,0,0,0,6,31
476,0.02,0,0,0,6,31
477,0.02,0,0,0,6,31
478,0.02,0,0,0,6,31
479,0.02,0,0,0,6,31
480,0.02,0,0,0,6,31
481,0.02,0,0,0,6,31
482,0.02,0,0,0,6,32
483,0.02,0,0,0,6,32
484,0.02,0,0,0,6,32
485,0.02,0,0,0,6,32
486,0.02,0,0,0,6,32
487,0.02,0,0,0,6,32
488,0.02,0,0,0,6,32
489,0.02,0,0,0,6,32
